group,man.source.pig,sid,lwr,med,upr,rred
00-0 ref cattle,0,00-0,0,0,0,0
00-0 ref pig,1,00-0,0,0,0,0
01-ai trailing hose cattle,0,01-ai,0.0776420526475136,0.476447535201586,0.628795089919323,0.476857499693468
01-ai trailing hose pig,1,01-ai,0.0484347646896639,0.275131203752932,0.472735138117076,0.28361032410636
02-aii trailing shoe cattle,0,02-aii,0.146252488495726,0.515443320293094,0.700033169237008,0.513381160246082
02-aii trailing shoe pig,1,02-aii,0.0687191092795975,0.306053051855171,0.546499529171463,0.308916828972486
03-b open slot injection cattle,0,03-b,0.488424102350721,0.729893186362434,0.792722623479869,0.73330390565989
03-b open slot injection pig,1,03-b,0.31206433475664,0.502032109508052,0.665527010850786,0.49232798248879
04-c closed slot injection cattle,0,04-c,0.79433766778032,0.903171970485331,0.982775813885583,0.899852846491235
04-c closed slot injection pig,1,04-c,0.682392111963714,0.80433799582442,0.963738441427854,0.78423314894805
05-new1 liquid frac sep cattle,0,05-new1,0.195082530970025,0.379108592714383,0.481967553494582,0.379579729491003
05-new1 liquid frac sep pig,1,05-new1,0.168538401100087,0.291720975414614,0.455104924901007,0.283478941212275
06-e dilution cattle,0,06-e,0.217492082016981,0.41886189717594,0.524129637054167,0.417462536746715
06-e dilution pig,1,06-e,0.168538401100087,0.291720975414614,0.455104924901007,0.283478941212275
07-new2 acidified cattle,0,07-new2,0.0139097565710314,0.420621149834885,0.577695244689883,0.418768523395881
07-new2 acidified pig,1,07-new2,0.0461803387000873,0.3554901553708,0.503538150964343,0.363545536657711
08-di deep incorp quick cattle,0,08-di,0.916647290907607,0.935227131612568,0.959194608433291,0.931562501650845
08-di deep incorp quick pig,1,08-di,0.930082294560047,0.950989299414913,0.968905209366909,0.949236156122391
09-dii shallow incorp quick cattle,0,09-dii,0.484262137945251,0.604884852080555,0.694758240966294,0.602179876751222
09-dii shallow incorp quick pig,1,09-dii,0.282730449795882,0.420048054854045,0.579588424902782,0.392282425504695
10-diii deep incorp 4 h cattle,0,10-diii,0.59623817372705,0.729097962604827,0.915406232115055,0.697031658476936
10-diii deep incorp 4 h pig,1,10-diii,0.653582343534699,0.773686475435412,0.908284863309967,0.750912206529209
11-div deep incorp 24 h cattle,0,11-div,0.101252690042703,0.234019236546654,0.714632405713425,0.200124661939812
11-div deep incorp 24 h pig,1,11-div,0.226894144466266,0.391677336441188,0.65836557241769,0.375474244839196
comb1 trailing shoe + acid cattle,0,comb1,0.552045667609517,0.733914127443881,0.84079115693511,0.746912657562036
comb2 dilution + acid cattle,0,comb2,0.364067002782213,0.618088606053368,0.709914976540056,0.630135432290631
comb3 trailing shoe + dilution cattle,0,comb3,0.442248787851735,0.641573935604257,0.77377377345155,0.640766073258686
comb4 trailing hose + dilution cattle,0,comb4,0.365791812536908,0.623454981164565,0.712018488656268,0.623370479766116
