group,man.source.pig,sid,lwr,med,upr,rred
00-0 ref cattle,0,00-0,0,0,0,0
00-0 ref pig,1,00-0,0,0,0,0
01-ai trailing hose cattle,0,01-ai,0.164288287757296,0.49111503614266,0.612320935993098,0.488923506953405
01-ai trailing hose pig,1,01-ai,0.0944982902445063,0.302709798767379,0.434982293749626,0.304467648144921
02-aii trailing shoe cattle,0,02-aii,0.189268314044095,0.527588422255378,0.63070547644277,0.52587837454722
02-aii trailing shoe pig,1,02-aii,0.130684172642333,0.323946985449152,0.496623455225859,0.331179377316509
03-b open slot injection cattle,0,03-b,0.529075758106381,0.743380662817871,0.794254041275333,0.747494050631723
03-b open slot injection pig,1,03-b,0.384244463287953,0.54486465327008,0.665010540583015,0.52283199377257
04-c closed slot injection cattle,0,04-c,0.818495970237269,0.909831346513598,0.97333218622161,0.906487118043803
04-c closed slot injection pig,1,04-c,0.723559373821355,0.826191739818095,0.943423514970469,0.798625020663253
05-new1 liquid frac sep cattle,0,05-new1,0.280601124416896,0.428985123096293,0.522443772842862,0.424768549746325
05-new1 liquid frac sep pig,1,05-new1,0.226613728732327,0.318364503384976,0.426123648203766,0.304719054751676
06-e dilution cattle,0,06-e,0.280601124416896,0.428985123096293,0.522443772842862,0.424768549746325
06-e dilution pig,1,06-e,0.226613728732327,0.318364503384976,0.426123648203766,0.304719054751676
07-new2 acidified cattle,0,07-new2,0.0229613532812353,0.460935619637708,0.577301390023795,0.456535811110675
07-new2 acidified pig,1,07-new2,0.207826284298104,0.361137043348969,0.483726244670022,0.372937152968897
08-di deep incorp quick cattle,0,08-di,0.914499642655726,0.930974610933376,0.951451397462879,0.927759046191517
08-di deep incorp quick pig,1,08-di,0.928703695919381,0.946419941913459,0.963843683063298,0.94412119264178
09-dii shallow incorp quick cattle,0,09-dii,0.555302848104638,0.619056219440955,0.677630996092182,0.611061072524958
09-dii shallow incorp quick pig,1,09-dii,0.303544788767152,0.451495045497217,0.569154841577074,0.414555076466274
10-diii deep incorp 4 h cattle,0,10-diii,0.363059855817154,0.520780481616293,0.765931713471443,0.476998395976972
10-diii deep incorp 4 h pig,1,10-diii,0.458230349493848,0.597431971910048,0.791737475403231,0.566379523625244
11-div deep incorp 24 h cattle,0,11-div,0.0554194462010913,0.0948140157402397,0.278944107555491,0.0878966317931911
11-div deep incorp 24 h pig,1,11-div,0.145844575607283,0.232237698530974,0.376264627135978,0.246424997560696
